power,cut-in wind speed,rated power wind speed,cut-out wind speed,power exponent
100,2.28555052,10.2540731,25,1.90941244
500,2.98976831,11.30542585,25,1.65347443
1000,2.74354411,11.60966139,25,1.8201158 
1500,2.39959872,10.92324635,25,1.99766524
2000,2.44818742,10.65762506,25,1.97392899
2500,2.45801483,10.75602193,25,1.96057788
3000,2.35299039,10.87859339,25,1.94220077
4000,2.40437641,10.77463639,25,1.81487153
5000,2.6493769 ,11.82456071,25,1.8964504 
6000,2.73184543,10.79198303,25,1.99108785
8000,3.10621419,11.7546298 ,25,1.71504085
9000,2.40615713,10.54088788,25,1.74739029
10000,2.63001912,10.89448887,25,1.97367089
