country,onshore,offshore
FJ,0.16400221,0.275512427
TZ,0.11885374,0.166315243
CA,0.333502829,0.357807785
US,0.30065763,0.39959982
KZ,0.376146346,
UZ,0.338908106,
PG,0.051962893,0.117270872
ID,0.041844975,0.081717081
AR,0.356164455,0.606038213
CL,0.299467981,0.554072678
CD,0.038150717,0.088206984
SO,0.332591712,0.461230427
KE,0.205205902,0.277269989
SD,0.367747605,0.422504246
TD,0.347112924,
HT,0.158534616,0.162447304
DO,0.155543461,0.275559843
RU,0.276159585,0.428540528
BS,0.206613734,0.276815921
FK,0.652593195,0.675011992
"NO",0.354229182,0.359176248
GL,0.602110565,0.273519069
TL,0.114130512,0.137194753
ZA,0.230275229,0.453035533
LS,0.214186192,
MX,0.140716106,0.249585047
UY,0.369642466,0.437241673
BR,0.107429072,0.249025896
BO,0.144192487,
PE,0.049755771,0.36577329
CO,0.055657882,0.146888867
PA,0.113832079,0.148311496
CR,0.116219722,0.086835757
NI,0.183510199,0.201049268
HN,0.115534201,0.217069387
SV,0.113370255,0.107387997
GT,0.088381708,0.072382174
BZ,0.081904307,0.20307897
VE,0.110234618,0.383568048
GY,0.057786167,0.102232419
SR,0.050563034,0.213647321
FR,0.283338428,0.417996019
EC,0.052132633,0.089840867
PR,0.154382497,0.282746911
JM,0.162167251,0.241303891
CU,0.207650542,0.322323769
ZW,0.152659416,
BW,0.210098729,
"NA",0.217450872,0.371665329
SN,0.214588761,0.310728312
ML,0.324937671,
MR,0.452097774,0.600976706
BJ,0.126631275,0.203243867
NE,0.339325011,
NG,0.153997913,0.109527051
CM,0.055552565,0.060538869
TG,0.100484014,0.240664765
GH,0.09921217,0.182018593
CI,0.090158969,0.128523991
GN,0.077461816,0.071066439
GW,0.109405316,0.179739565
LR,0.046241522,0.063600361
SL,0.062029615,0.071580723
BF,0.202306584,
CF,0.062826857,
CG,0.037075512,0.059049398
GA,0.028005885,0.085608318
GQ,0.022324553,0.072300725
ZM,0.127462953,
MW,0.176455781,
MZ,0.132956669,0.253104031
SZ,0.181928799,
AO,0.093304932,0.116859645
BI,0.056160152,
IL,0.186237335,0.181157961
LB,0.159406021,0.150265053
MG,0.185088784,0.26126045
PS,0.187646866,
GM,0.179531291,0.199019268
TN,0.348786205,0.355180293
DZ,0.371453762,0.290632695
JO,0.285002947,0.531085014
AE,0.261514366,0.187841341
QA,0.322064519,0.315447688
KW,0.431974798,0.375311345
IQ,0.318366319,0.410640746
OM,0.297951788,0.200094566
VU,0.142912209,0.189046949
KH,0.111964867,0.102099791
TH,0.129967585,0.135917172
LA,0.129734993,
MM,0.078580044,0.119426519
VN,0.156376511,0.265864611
KP,0.202169508,0.273375243
KR,0.202943921,0.29043594
MN,0.301948369,
IN,0.136980295,0.294631809
BD,0.127176851,0.191703409
BT,0.045278378,
NP,0.071508713,
PK,0.173317656,0.270190656
AF,0.21149388,
TJ,0.170155674,
KG,0.150106132,
TM,0.358068883,
IR,0.227772489,0.209197253
SY,0.296128333,0.187007248
AM,0.147587255,
SE,0.297475189,0.469500273
BY,0.331377983,
UA,0.337982178,0.421922833
PL,0.347996891,0.520711243
AT,0.220397949,
HU,0.25755915,
MD,0.302456945,
RO,0.204729021,0.361835152
LT,0.376172692,0.520381927
LV,0.357212692,0.524927616
EE,0.353549212,0.495855331
DE,0.333801329,0.575382113
BG,0.185614109,0.25951907
GR,0.177890211,0.232795566
TR,0.176492706,0.268068373
AL,0.178892285,0.231022596
HR,0.204922006,0.268765658
CH,0.185466647,
LU,0.321557581,
BE,0.38535434,0.518488109
NL,0.444415867,0.548556924
PT,0.234161749,0.389518857
ES,0.22539179,0.32691747
IE,0.515028656,0.553439438
NC,0.199056864,0.374634266
SB,0.087676048,0.152679652
NZ,0.35948649,0.417927027
AU,0.309234232,0.33504194
LK,0.250112057,0.408338249
CN,0.238421276,0.359535962
TW,0.138772696,0.326503962
IT,0.174144641,0.235925168
DK,0.493879229,0.567819834
GB,0.46131441,0.515260458
IS,0.445655167,0.471189052
AZ,0.143717885,
GE,0.154471919,0.194811046
PH,0.146182716,0.192494452
MY,0.030868141,0.062185749
BN,0.018554021,0.075017937
SI,0.183265507,
FI,0.29271391,0.454472691
SK,0.221443251,
CZ,0.263702542,
ER,0.23107852,0.158466876
JP,0.22040078,0.339322984
PY,0.254950672,
YE,0.233804628,0.282708734
SA,0.292396367,0.272206008
CY,0.173249692,0.194436103
MA,0.349242896,0.360559464
EG,0.361860573,0.436661422
LY,0.381507188,0.402151734
ET,0.144661248,
DJ,0.352509677,0.327537537
UG,0.065436475,
RW,0.044832997,
BA,0.172275856,
MK,0.150245145,
RS,0.214536801,
ME,0.183650687,0.142217621
XK,0.182104811,
TT,0.115842685,0.241713703
SS,0.115939312,
